company_id,company_size,h1b_history,wage_level,funding_recent,github_activity,fit_score,effort_hours_historical,callback,data_source,record_timestamp,funding_recent_asof_months_ago
165,midsize,False,4.0,0,4.78,6.68,6.3,0,synthetic_v1,2026-07-01,1
166,midsize,False,1.0,1,7.54,7.94,6.86,0,synthetic_v1,2026-07-01,5
167,enterprise,True,2.0,1,4.32,3.8,0.7,0,synthetic_v1,2026-07-01,0
168,enterprise,False,1.0,1,5.77,4.5,3.1,1,synthetic_v1,2026-07-01,3
169,startup,False,1.0,0,5.58,6.26,3.46,0,synthetic_v1,2026-07-01,5
170,enterprise,True,3.0,1,8.19,5.97,6.52,0,synthetic_v1,2026-07-01,3
171,startup,False,2.0,1,5.94,6.51,2.88,0,synthetic_v1,2026-07-01,5
172,midsize,True,3.0,1,9.55,7.95,8.18,1,synthetic_v1,2026-07-01,0
173,startup,False,3.0,0,4.84,2.82,2.64,0,synthetic_v1,2026-07-01,3
174,enterprise,True,3.0,1,8.88,7.75,3.91,0,synthetic_v1,2026-07-01,4
175,startup,False,1.0,1,10.0,6.01,3.59,0,synthetic_v1,2026-07-01,3
176,startup,False,3.0,0,3.62,5.63,3.18,0,synthetic_v1,2026-07-01,5
177,midsize,True,3.0,0,3.56,3.35,1.1,0,synthetic_v1,2026-07-01,2
178,enterprise,True,2.0,1,8.47,6.91,5.29,1,synthetic_v1,2026-07-01,4
179,enterprise,True,3.0,1,8.49,1.65,0.25,0,synthetic_v1,2026-07-01,2
180,enterprise,True,3.0,1,6.75,7.17,2.03,0,synthetic_v1,2026-07-01,5
181,enterprise,True,2.0,1,5.84,3.31,2.42,0,synthetic_v1,2026-07-01,0
182,enterprise,True,4.0,1,10.0,6.1,1.95,0,synthetic_v1,2026-07-01,1
184,startup,False,3.0,1,3.88,8.11,4.5,0,synthetic_v1,2026-07-01,4
185,enterprise,True,4.0,1,9.35,5.68,3.1,0,synthetic_v1,2026-07-01,1
186,midsize,True,2.0,1,6.0,4.75,6.85,0,synthetic_v1,2026-07-01,1
187,midsize,True,3.0,1,5.74,5.09,4.14,1,synthetic_v1,2026-07-01,5
188,startup,False,2.0,1,6.21,8.29,6.34,1,synthetic_v1,2026-07-01,2
189,enterprise,True,3.0,1,5.37,6.97,2.51,0,synthetic_v1,2026-07-01,0
190,startup,False,3.0,0,4.63,5.31,3.2,0,synthetic_v1,2026-07-01,0
191,enterprise,True,2.0,1,10.0,5.57,4.67,0,synthetic_v1,2026-07-01,1
192,startup,False,2.0,1,6.04,3.18,1.37,0,synthetic_v1,2026-07-01,5
193,startup,False,2.0,0,3.32,6.7,6.38,0,synthetic_v1,2026-07-01,3
194,enterprise,True,1.0,1,6.79,2.83,0.9,0,synthetic_v1,2026-07-01,5
195,startup,False,1.0,1,4.46,7.35,4.98,0,synthetic_v1,2026-07-01,1
196,startup,False,2.0,0,3.54,6.23,3.86,0,synthetic_v1,2026-07-01,2
197,midsize,True,1.0,0,4.32,10.0,7.25,0,synthetic_v1,2026-07-01,0
198,enterprise,True,2.0,1,9.35,4.02,2.45,0,synthetic_v1,2026-07-01,2
199,startup,False,3.0,1,2.08,5.82,4.08,0,synthetic_v1,2026-07-01,3
200,startup,False,3.0,0,5.55,9.24,6.19,0,synthetic_v1,2026-07-01,4
201,enterprise,True,3.0,1,7.02,8.14,4.79,1,synthetic_v1,2026-07-01,2
202,enterprise,False,2.0,1,8.38,4.75,4.58,0,synthetic_v1,2026-07-01,4
203,midsize,False,3.0,1,4.17,6.4,5.2,1,synthetic_v1,2026-07-01,3
204,startup,False,3.0,1,7.59,6.0,4.47,0,synthetic_v1,2026-07-01,1
205,startup,False,1.0,0,6.24,6.51,4.26,0,synthetic_v1,2026-07-01,5
206,startup,False,1.0,1,6.93,4.74,5.04,0,synthetic_v1,2026-07-01,2
207,startup,False,3.0,0,1.27,5.84,4.15,0,synthetic_v1,2026-07-01,0
208,midsize,False,2.0,0,6.49,3.12,2.41,0,synthetic_v1,2026-07-01,5
209,startup,False,2.0,1,5.93,6.24,4.9,0,synthetic_v1,2026-07-01,5
210,midsize,True,4.0,0,2.11,6.81,7.63,1,synthetic_v1,2026-07-01,0
211,midsize,True,1.0,0,4.96,5.59,2.34,0,synthetic_v1,2026-07-01,5
212,midsize,False,1.0,0,5.66,3.09,4.01,0,synthetic_v1,2026-07-01,5
213,startup,False,4.0,1,6.2,7.78,2.83,0,synthetic_v1,2026-07-01,4
214,enterprise,True,3.0,1,8.02,6.66,5.32,1,synthetic_v1,2026-07-01,1
215,enterprise,True,1.0,1,8.22,4.69,6.18,0,synthetic_v1,2026-07-01,3
216,enterprise,True,3.0,1,10.0,5.49,5.03,0,synthetic_v1,2026-07-01,3
217,startup,False,3.0,0,6.21,3.3,3.24,0,synthetic_v1,2026-07-01,3
218,startup,False,2.0,1,0.04,4.15,2.65,0,synthetic_v1,2026-07-01,3
219,enterprise,True,3.0,1,7.13,5.03,4.07,0,synthetic_v1,2026-07-01,3
220,midsize,False,2.0,1,5.9,8.21,5.55,1,synthetic_v1,2026-07-01,3
221,startup,True,1.0,1,2.05,4.85,2.73,0,synthetic_v1,2026-07-01,4
222,midsize,True,3.0,0,5.17,7.15,4.86,1,synthetic_v1,2026-07-01,3
223,midsize,True,2.0,1,8.45,5.03,4.32,0,synthetic_v1,2026-07-01,0
224,enterprise,True,3.0,1,5.74,6.45,3.72,1,synthetic_v1,2026-07-01,0
225,startup,False,3.0,0,4.61,5.75,3.24,0,synthetic_v1,2026-07-01,5
226,enterprise,True,1.0,1,6.05,7.57,3.5,0,synthetic_v1,2026-07-01,5
227,startup,True,3.0,0,2.79,5.04,4.61,0,synthetic_v1,2026-07-01,3
228,midsize,False,2.0,1,8.86,3.17,3.72,0,synthetic_v1,2026-07-01,1
229,midsize,False,3.0,1,5.22,3.51,3.45,0,synthetic_v1,2026-07-01,4
230,startup,False,2.0,1,6.03,5.04,5.47,0,synthetic_v1,2026-07-01,0
232,midsize,False,3.0,0,8.35,6.74,5.63,0,synthetic_v1,2026-07-01,1
233,enterprise,True,2.0,1,8.78,5.16,4.55,0,synthetic_v1,2026-07-01,0
234,midsize,False,3.0,1,5.87,10.0,6.86,1,synthetic_v1,2026-07-01,4
235,enterprise,True,3.0,1,8.74,2.87,1.93,0,synthetic_v1,2026-07-01,3
236,enterprise,True,3.0,1,5.16,6.37,8.14,1,synthetic_v1,2026-07-01,1
237,midsize,True,3.0,0,7.13,3.97,2.7,0,synthetic_v1,2026-07-01,3
238,enterprise,True,4.0,1,7.12,5.11,3.07,1,synthetic_v1,2026-07-01,0
239,startup,False,2.0,0,3.63,6.25,5.4,0,synthetic_v1,2026-07-01,2
240,startup,True,2.0,1,4.32,1.81,2.47,0,synthetic_v1,2026-07-01,3
241,enterprise,False,1.0,1,6.65,6.43,2.75,0,synthetic_v1,2026-07-01,2
243,startup,True,2.0,1,5.66,5.18,3.97,0,synthetic_v1,2026-07-01,1
244,midsize,False,2.0,1,7.37,6.47,3.21,0,synthetic_v1,2026-07-01,0
245,midsize,True,1.0,0,4.98,7.84,7.49,0,synthetic_v1,2026-07-01,3
246,enterprise,True,3.0,1,8.62,5.7,5.36,0,synthetic_v1,2026-07-01,5
247,midsize,True,2.0,1,5.45,4.95,2.08,0,synthetic_v1,2026-07-01,2
248,midsize,True,3.0,1,10.0,1.9,4.81,0,synthetic_v1,2026-07-01,0
249,midsize,False,1.0,0,2.18,7.15,6.28,0,synthetic_v1,2026-07-01,5
250,midsize,True,4.0,1,8.47,5.8,4.46,0,synthetic_v1,2026-07-01,2
251,midsize,True,2.0,0,7.46,4.18,5.89,0,synthetic_v1,2026-07-01,1
252,enterprise,True,2.0,1,6.17,6.23,4.98,0,synthetic_v1,2026-07-01,3
253,midsize,True,3.0,0,9.01,4.95,3.93,0,synthetic_v1,2026-07-01,1
254,startup,True,4.0,0,5.79,5.05,3.04,1,synthetic_v1,2026-07-01,5
255,startup,False,2.0,0,5.75,7.09,6.13,0,synthetic_v1,2026-07-01,1
256,enterprise,True,2.0,1,7.75,3.59,3.87,0,synthetic_v1,2026-07-01,3
257,enterprise,True,3.0,1,7.31,7.89,5.75,0,synthetic_v1,2026-07-01,3
258,startup,False,3.0,0,3.62,3.48,1.91,0,synthetic_v1,2026-07-01,1
259,startup,False,2.0,0,4.7,4.81,4.08,0,synthetic_v1,2026-07-01,2
260,midsize,True,2.0,1,8.72,9.46,6.57,1,synthetic_v1,2026-07-01,0
261,startup,False,3.0,0,4.33,8.03,3.82,0,synthetic_v1,2026-07-01,3
262,enterprise,True,3.0,1,6.06,6.18,2.5,0,synthetic_v1,2026-07-01,4
263,startup,True,3.0,1,6.68,4.31,4.43,0,synthetic_v1,2026-07-01,5
264,startup,False,3.0,0,5.66,5.05,0.25,1,synthetic_v1,2026-07-01,1
265,enterprise,True,1.0,1,8.88,6.13,4.99,0,synthetic_v1,2026-07-01,1
266,startup,False,4.0,1,6.54,6.07,3.92,0,synthetic_v1,2026-07-01,3
267,startup,False,3.0,1,4.71,5.84,6.46,0,synthetic_v1,2026-07-01,4
268,startup,False,3.0,0,2.33,5.94,3.83,0,synthetic_v1,2026-07-01,5
269,startup,False,1.0,1,3.64,5.61,5.36,0,synthetic_v1,2026-07-01,0
270,startup,False,2.0,0,1.06,3.4,2.45,0,synthetic_v1,2026-07-01,1
271,startup,False,3.0,0,4.43,5.07,4.21,0,synthetic_v1,2026-07-01,1
272,startup,True,1.0,1,5.05,7.65,6.69,0,synthetic_v1,2026-07-01,1
273,startup,False,4.0,0,3.21,3.54,2.43,1,synthetic_v1,2026-07-01,2
274,midsize,False,2.0,1,0.88,5.66,5.89,0,synthetic_v1,2026-07-01,5
275,midsize,False,3.0,0,2.75,4.52,2.22,0,synthetic_v1,2026-07-01,0
276,midsize,True,3.0,1,8.22,6.2,5.16,0,synthetic_v1,2026-07-01,4
277,startup,True,2.0,0,2.8,5.3,5.56,0,synthetic_v1,2026-07-01,3
278,midsize,False,2.0,0,5.65,8.66,7.19,0,synthetic_v1,2026-07-01,3
279,enterprise,False,3.0,1,5.2,6.91,8.02,0,synthetic_v1,2026-07-01,4
280,enterprise,True,3.0,1,10.0,3.64,2.04,0,synthetic_v1,2026-07-01,0
281,startup,False,2.0,1,4.94,7.21,3.26,1,synthetic_v1,2026-07-01,4
282,startup,False,3.0,0,4.52,4.61,2.27,0,synthetic_v1,2026-07-01,1
283,startup,False,4.0,0,8.19,4.96,4.97,0,synthetic_v1,2026-07-01,3
284,startup,False,2.0,0,6.73,6.56,5.69,0,synthetic_v1,2026-07-01,4
285,midsize,False,2.0,0,4.45,5.11,4.22,0,synthetic_v1,2026-07-01,3
286,midsize,False,2.0,1,5.13,7.61,3.88,0,synthetic_v1,2026-07-01,1
287,startup,False,2.0,0,3.41,4.61,4.91,0,synthetic_v1,2026-07-01,2
288,midsize,True,1.0,1,7.12,4.89,2.09,0,synthetic_v1,2026-07-01,2
289,midsize,True,2.0,0,4.81,4.82,5.63,1,synthetic_v1,2026-07-01,0
290,startup,False,3.0,1,4.49,4.98,8.28,0,synthetic_v1,2026-07-01,4
291,enterprise,False,2.0,1,10.0,7.98,6.34,0,synthetic_v1,2026-07-01,0
292,startup,False,4.0,0,3.79,7.13,6.15,0,synthetic_v1,2026-07-01,2
293,enterprise,True,2.0,1,10.0,9.08,5.71,1,synthetic_v1,2026-07-01,3
294,startup,False,1.0,1,5.36,10.0,4.28,0,synthetic_v1,2026-07-01,0
295,enterprise,True,3.0,1,10.0,4.14,2.58,0,synthetic_v1,2026-07-01,5
296,enterprise,True,3.0,1,8.34,6.13,3.04,0,synthetic_v1,2026-07-01,2
297,enterprise,True,2.0,1,9.43,3.88,1.16,1,synthetic_v1,2026-07-01,0
298,enterprise,True,2.0,1,6.4,4.6,6.34,0,synthetic_v1,2026-07-01,3
299,enterprise,False,2.0,1,6.16,4.87,4.33,0,synthetic_v1,2026-07-01,3
300,midsize,False,2.0,1,7.03,4.1,4.03,0,synthetic_v1,2026-07-01,3
